"","Country.Region","RMSE","Rank"
"174","South Sudan",12.7480807357204,121
"175","Sao Tome and Principe",10.4495933360533,101
"176","Suriname",10.0482529050798,94
"177","Slovakia",13.7937962222958,132
"178","Slovenia",13.5032866369636,129
"179","Sweden",16.0170872022489,148
"180","Swaziland",7.62910961748195,67
"181","Sint Maarten",NA,208
"182","Seychelles",3.9864708703313,24
"183","Syria",21.3368381235625,167
"184","Turks and Caicos Islands",NA,209
"185","Chad",8.54553393429704,71
"186","Togo",9.08434275736739,77
"187","Thailand",11.0532833131156,108
"188","Tajikistan",36.3561536622222,189
"189","Turkmenistan",NA,210
"190","East Timor",6.707462113199,56
"191","Tonga",NA,211
"192","Trinidad and Tobago",5.18399997856653,34
"193","Tunisia",21.4178857707499,169
"194","Turkey",23.2265473399154,179
"195","Taiwan",10.1035280526711,95
"196","United Republic of Tanzania",0.752937801769398,5
"197","Uganda",7.56508634011095,65
"198","Ukraine",14.3279189696201,138
"199","Uruguay",9.12353672894697,78
"200","United States of America",18.3625717818732,159
"201","Uzbekistan",19.2746112282453,161
"202","Vatican",1.70035185901167,7
"203","Saint Vincent and the Grenadines",5.58328407938474,42
"204","Venezuela",18.9091792171598,160
"205","Vietnam",10.383282621599,99
"206","Vanuatu",0.449789827462659,3
"207","Wallis and Futuna",NA,212
"208","Samoa",0.750614414996142,4
"209","Yemen",5.12891576153176,33
"210","South Africa",21.8011193953175,171
"211","Zambia",4.24198653672755,26
"212","Zimbabwe",8.69945750543613,73
